dataset_id,figure_group,panel_id,series_id,series_type,condition_id,reaction_id,species,x_value,y_value,error_low,error_high
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,3.500000,0.00000000e+00,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,3.600000,0.00000000e+00,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,3.700000,0.00000000e+00,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,3.800000,0.00000000e+00,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,3.900000,0.00000000e+00,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,4.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,4.100000,6.52703502e-306,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,4.200000,9.19134345e-245,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,4.300000,1.45656656e-190,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,4.400000,2.59758619e-143,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,4.500000,5.21312199e-103,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,4.600000,1.17737307e-69,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,4.650000,1.38693246e-55,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,4.700000,2.99239278e-43,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,4.750000,1.18250764e-32,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,4.800000,8.55877061e-24,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,4.850000,1.13459506e-16,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,4.900000,2.75481517e-11,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,4.950000,1.22508469e-07,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,5.000000,9.97842125e-06,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,5.020000,1.89238851e-05,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,5.040000,1.89238851e-05,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,5.060000,9.97842125e-06,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,5.080000,2.77437331e-06,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,5.100000,4.06742442e-07,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,5.150000,2.03554838e-10,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,5.200000,1.86580151e-15,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,5.300000,9.63162746e-31,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,5.400000,5.59528488e-53,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_base,line,base,r31,,5.500000,3.65791003e-82,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,3.500000,1.43720579e-248,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,3.600000,7.31885288e-209,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,3.700000,1.06195472e-172,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,3.800000,4.39043859e-140,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,3.900000,5.17188353e-111,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,4.000000,1.73591513e-85,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,4.100000,1.66014937e-63,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,4.200000,4.52381425e-45,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,4.300000,3.51237831e-30,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,4.400000,7.77028113e-19,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,4.500000,4.89791338e-11,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,4.600000,8.79679341e-07,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,4.650000,5.52087781e-06,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,4.700000,4.50170061e-06,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,4.750000,4.76902734e-07,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,4.800000,6.56398752e-09,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,4.850000,1.17379002e-11,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,4.900000,2.72707956e-15,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,4.950000,8.23170761e-20,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,5.000000,3.22824728e-25,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,5.020000,1.25368740e-27,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,5.040000,3.51237831e-30,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,5.060000,7.09909304e-33,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,5.080000,1.03512788e-35,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,5.100000,1.08886666e-38,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,5.150000,9.36495624e-47,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,5.200000,1.04645735e-55,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,5.300000,2.86554537e-76,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,5.400000,2.23579493e-100,0.00000000e+00,0.00000000e+00
profile_series_v1,ch4_rate_profiles,main,r31_no_10_4pct,line,no_10_4pct,r31,,5.500000,4.97044838e-128,0.00000000e+00,0.00000000e+00
